study,D1 randomization,D2 deviations,D3 missing,D4 measurement,D5 reporting,overall,notes
Yoshino_2021,some concerns,low,low,low,some concerns,some concerns,
Huang_2022,some concerns,low,some concerns,low,some concerns,some concerns,
Igarashi_2022,low,some concerns,high,some concerns,some concerns,high,small sample
Katayoshi_2023,low,low,low,low,some concerns,some concerns,crossover - check carryover
Morifuji_2024,some concerns,low,low,low,some concerns,some concerns,industry funded
Dollerup_2018,low,low,low,low,some concerns,some concerns,industry funded
Conze_2019,some concerns,low,low,low,some concerns,some concerns,
Elhassan_2019,some concerns,some concerns,low,some concerns,high,high,crossover - check carryover
Remie_2020,low,low,some concerns,low,some concerns,some concerns,small sample
Brakedal_2022,low,low,low,low,some concerns,some concerns,
Ahmadi_2023,some concerns,some concerns,low,some concerns,some concerns,some concerns,
Norheim_2024,low,low,low,low,some concerns,some concerns,
Orr_2024,some concerns,low,some concerns,some concerns,some concerns,some concerns,industry funded
Lin_2025,some concerns,low,low,low,some concerns,some concerns,industry funded
Bandi_2025,low,low,some concerns,low,some concerns,some concerns,
