study_id,D1_randomization,D2_deviations,D3_missing_data,D4_measurement,D5_reporting,Overall,D1_justification,D2_justification,D3_justification,D4_justification,D5_justification
Yoshino_2021,Some concerns,Low,Low,Low,Some concerns,Some concerns,No explicit detail on sequence generation or allocation concealment in text,DB-PC with matching placebo; all 25 completed; analysis consistent with assignment,25/25 analyzed; no missing data,DB; all metabolic outcomes objective lab measures,"Pre-registered NCT03151239, but metabolic outcomes are secondary; Yoshino holds NMN patent; Imai SAB Metro Biotech"
Huang_2022,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,"Randomized 1:1, but post-unblinding exclusion of 4 placebo subjects to equalize groups is non-standard",DB-PC with matching capsules; no protocol deviations,"66 randomized -> 62 analyzed; post-unblinding exclusion of 4 subjects is methodologically problematic",DB; all outcomes objective lab measures,"Registered CTRI; HOMA-IR exploratory; industry-funded by EffePharm (NMN manufacturer)"
Igarashi_2022,Low,Some concerns,High,Some concerns,Some concerns,High,Independent third-party allocation (C&C Inc.); sealed randomization code; no baseline differences,"DB-PC but supplement preparation error meant some participants received incorrect supplements","42 randomized but only 10/10 analyzed at 12wk - 52% attrition from supplement error","DB; objective lab outcomes; but most metabolic data only in supplementary tables","Registered UMIN; metabolic outcomes secondary/exploratory; industry-supplied NMN (Mitsubishi); data relegated to supplements"
Katayoshi_2023,Low,Low,Low,Low,Some concerns,Some concerns,Block random allocation by independent controller (Orthomedico Inc.); allocation concealed until unblinding,DB; indistinguishable capsules; 34/36 analyzed; consistent with assignment,"36 enrolled, 34 analyzed (5.6% attrition); 2 excluded per pre-specified criteria",DB; objective blood biomarkers analyzed by outsourced lab (BML),Registered jRCTs; all authors are Mitsubishi/Teijin employees (manufacturers); NAD+ below LOQ buried
Morifuji_2024,Some concerns,Low,Low,Low,Some concerns,Some concerns,Described as randomized DB-PC but specific sequence generation and allocation concealment not detailed,DB-PC with matching placebo; 59/59 analyzed; no deviations,59/59 analyzed; zero attrition; complete data,DB; all outcomes objective lab measures incl DXA,"Registered jRCTs; all authors Meiji Holdings employees (NMN manufacturer and funder)"
Dollerup_2018,Low,Low,Low,Low,Some concerns,Some concerns,Aarhus University Hospital Pharmacy managed randomization/blinding/packaging - gold standard,DB; identical capsules; all 40 completed; no deviations,40/40 completed; zero attrition,DB; objective outcomes (clamp/OGTT/DXA/labs); same procedures throughout,"Pre-registered NCT02303483; 2019b is secondary publication; ChromaDex supplied; Brenner adviser/stockholder"
Conze_2019,Some concerns,Low,Low,Low,Some concerns,Some concerns,Randomized 4-arm registered but specific sequence generation/allocation concealment not detailed,"DB; identical NIAGEN and placebo capsules; 133/140 completed (95%)",140 randomized 133 completed; 7 dropouts balanced across arms,DB; objective safety/metabolic lab measures,"Pre-registered NCT; ChromaDex funded entire trial; 2 authors employees; Brenner adviser/stockholder; metabolic outcomes secondary"
Elhassan_2019,Some concerns,Some concerns,Low,Some concerns,High,High,"Crossover RCT DB but NOT registered; no details on sequence generation or allocation concealment","DB crossover; all 12 completed; but carry-over effects noted for some cytokines suggesting insufficient 21d washout",12/12 completed both phases; no missing data,"DB; objective labs; but metabolic data only in Supp Table S1 with main text stating ""no changes"" narratively","NOT pre-registered; no protocol to verify pre-specified outcomes; metabolic data relegated to supplements; Brenner has financial interests"
Remie_2020,Low,Low,Some concerns,Low,Some concerns,Some concerns,"Computer-generated random numbers; clearly described; registered NCT03785899",DB crossover; 4-7wk washout adequate; no deviations,"15 randomized, 13 completed (87%); 2 dropouts in small crossover could affect precision",DB; objective outcomes (lab/DXA/clamp); same procedures each phase,"Pre-registered; authors acknowledge multiple testing without correction and ""false positives possible"""
Brakedal_2022,Low,Low,Low,Low,Some concerns,Some concerns,"Block randomization (block size 6) via eCRF; independent third party managed allocation/packing",DB; identical capsules; all 30 completed the 30d intervention,30/30 completed; zero attrition,DB; objective neuroimaging and clinical scales by blinded personnel,"Pre-registered NCT; but Tzoulis/Dolle filed patent on NR in PD; post-hoc responder analyses"
Ahmadi_2023,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"3-arm crossover registered NCT03579693 but specific randomization method not described","DB crossover; all 25 completed; but 1-week washout is pharmacokinetically short for 6-week treatment periods",25/25 completed all 3 phases; no missing data,"DB; objective outcomes; but most results as P-values only without means±SD",Pre-registered; primary outcome negative; limited metabolic data across two publications (2023/2025)
Norheim_2024,Low,Low,Low,Low,Some concerns,Some concerns,"Permuted block randomization (block 4) stratified by CAT score; adequate",DB; matching capsules; 37/40 analyzed; no deviations,"40 randomized, 37 analyzed (92.5%); balanced dropout reasons",DB; objective outcomes; LS means from mixed models - valid method,"Pre-registered NCT; Elysium Health provided capsules/funded; 2 employees co-authored"
Orr_2024,Some concerns,Low,Some concerns,Some concerns,Some concerns,Some concerns,"Registered NCT02942888 but no randomization details; very small n=10/group",DB with dose escalation (250->1000mg) pre-specified and uniform,"22 randomized, 20 analyzed; 2 dropouts (9%) in very small pilot","DB; objective labs; but metabolic data only in supplements dismissed as ""no meaningful differences""","Pre-registered; Brenner co-author, inventor, adviser, stockholder ChromaDex - substantial personal COI"
Lin_2025,Some concerns,Low,Low,Low,Some concerns,Some concerns,"3-arm parallel registered NCT04112043 but sequence generation/concealment not described; no placebo-only arm",DB; 90% supplement adherence; 93% exercise adherence; no deviations,"54 randomized, 49 completed (91%); balanced attrition",DB; 24h ambulatory BP monitoring - validated objective measure,"Pre-registered; NIH-funded; but pilot with no placebo-only arm complicates NMA extraction"
Bandi_2025,Low,Low,Some concerns,Low,Some concerns,Some concerns,"SAS PROC PLAN block randomization; independent statistician; adequate concealment",DB; identical capsules across 4 arms; blinded until database lock,"140 randomized, 137 PP analyzed; per-protocol only with no ITT reported",DB; objective outcomes (NAD+ HPLC; cytokines ELISA; clinical measures),"Registered CTRI; funded by Laila Nutra (LN22199 manufacturer); NR is comparator not primary interest"
