outcome,precursor,comparison,k,method,MD_REML,lower_CI,upper_CI,p_value,I2,tau2
ALT,NMN,NMN vs Placebo,3,REML,-1.124657487337595,-5.096029431589631,2.846714456914442,0.578864220432494,65.33517539376119,7.852729163613258
ALT,NR,NR vs Placebo,2,REML,-3.262364676489173,-7.773338869450834,1.248609516472488,0.15634901291065184,0,0
AST,NMN,NMN vs Placebo,3,REML,-0.2920578841008835,-1.8532563069382468,1.2691405387364796,0.7138755519567335,7.843698154039257,0.16292915574521077
AST,NR,NR vs Placebo,1,single_study,-1.4,-4.340783999999999,1.540784,0.3507763357757154,NA,NA
BMI,NMN,NMN vs Placebo,3,REML,-0.04260710641117407,-1.293771315370679,1.2085571025483306,0.9467850663512323,0,0
BMI,NR,NR vs Placebo,1,single_study,-0.9,-3.409976,1.609976,0.4821831617562684,NA,NA
body_weight,NMN,NMN vs Placebo,3,REML,0.6101380017228092,-3.7980447469569456,5.018320750402564,0.7861762645624157,0,0
DBP,NMN,NMN vs Placebo,4,REML,-2.5452840290848053,-5.59647312675762,0.5059050685880093,0.10205105019700553,0,0
fasting_insulin,NMN,NMN vs Placebo,2,REML,-3.290976069865418,-8.27530529427461,1.6933531545437726,0.19563267471590198,0,0
fasting_insulin,NR,NR vs Placebo,1,single_study,-0.4176,-2.652588,1.817388,0.7142013552365079,NA,NA
fat_mass,NMN,NMN vs Placebo,1,single_study,-0.5,-3.4372559999999996,2.4372559999999996,0.7386476569681979,NA,NA
FBG,NMN,NMN vs Placebo,4,REML,0.37352695568364247,-3.1288229883471876,3.8758768997144726,0.8344241123517977,29.580263678506416,3.738802880240002
FBG,NR,NR vs Placebo,1,single_study,-3.6036,-8.597876,1.3906759999999991,0.15729432038893898,NA,NA
HbA1c,NMN,NMN vs Placebo,2,REML,-0.007831763634910761,-0.13687962525553113,0.12121609798570962,0.9053166169255564,0,0
HbA1c,NR,NR vs Placebo,1,single_study,-0.2,-0.477144,0.07714399999999999,0.15723652108598002,NA,NA
HDL,NMN,NMN vs Placebo,3,REML,-0.1458405685155802,-5.729766636519232,5.438085499488071,0.9591739652173746,0,0
HDL,NR,NR vs Placebo,2,REML,-2.828244139794369,-8.971148778513724,3.314660498924986,0.3668531082058121,0,0
HOMA-IR,NMN,NMN vs Placebo,1,single_study,-0.6,-1.4036,0.2036,0.14335395672082138,NA,NA
HOMA-IR,NR,NR vs Placebo,1,single_study,-0.192,-0.898776,0.5147759999999999,0.594417185774343,NA,NA
IL-6,NR,NR vs Placebo,1,single_study,-0.8,-1.917396,0.317396,0.16053855075760307,NA,NA
LDL,NMN,NMN vs Placebo,3,REML,-1.5247129943762001,-11.684381901275602,8.634955912523202,0.7686496070818957,0,0
LDL,NR,NR vs Placebo,2,REML,-6.177841053384884,-17.395560720440447,5.0398786136706795,0.28041185979459565,0,0
NAD+,NMN,NMN vs Placebo,1,single_study,0.93,-1.69346,3.5534600000000003,0.48717587187712075,NA,NA
NAD+,NR,NR vs Placebo,1,single_study,6.1,2.8644319999999994,9.335568,2.19732711905614e-4,NA,NA
SBP,NMN,NMN vs Placebo,4,REML,-3.499203668675179,-7.84677222335711,0.8483648860067525,0.11467926505646138,0,0
skeletal_muscle,NMN,NMN vs Placebo,1,single_study,-0.4,-2.8513719999999996,2.0513719999999998,0.7491041029534918,NA,NA
TC,NMN,NMN vs Placebo,2,REML,-4.160283987715049,-17.026930537575524,8.706362562145426,0.5262556802112912,0,0
TC,NR,NR vs Placebo,2,REML,-8.925488497040483,-22.01317138308125,4.162194389000286,0.18133729249194092,4.772558062222232,4.624604215000024
TG,NMN,NMN vs Placebo,4,REML,-17.776215209823896,-36.5293631039832,0.9769326843354094,0.06318875978105094,0,0
TG,NR,NR vs Placebo,2,REML,4.596253013035829,-37.04253943052226,46.235045456593916,0.8287161050554429,59.97451419665194,541.9915394950004
